id;number;repo_full_name;state;merged;closed_without_merge;ci_runs;ci_any_failure;ci_any_success;pr_url;T1_ci_test_failure;T2_logic_bug;T3_syntax_compile;T4_missing_tests;T5_style_conventions;T6_build_ci_config;P1_low_priority;P2_duplicate_alt_solution;P3_abandoned_no_response;P4_unknown;primary_failure_mode;notes
2758595312;299;different-ai/note-companion;closed;TRUE;FALSE;1;TRUE;FALSE;https://github.com/different-ai/note-companion/pull/299;0;0;0;0;0;0;0;0;0;0;none;"Merged successfully. All visible CI checks green; no evidence of persistent failure."
3238853538;7323;microsoft/vscode-pull-request-github;closed;FALSE;TRUE;0;FALSE;FALSE;https://github.com/microsoft/vscode-pull-request-github/pull/7323;0;0;0;0;0;0;1;0;0;0;P1_low_priority;"All CI checks (build, TypeScript, lint, GraphQL updates) passed. Community PR Approvals check reports ÒNot enough approvalsÓ; PR is closed with unmerged commits and no alternative solution linked. Coded as process / priority failure (P1_low_priority)."
2964834156;56960;airbytehq/airbyte;closed;FALSE;TRUE;2;TRUE;FALSE;https://github.com/airbytehq/airbyte/pull/56960;0;0;0;0;0;1;0;0;0;1; T6_build_ci_config;Huge auto-generated docs changelog PR. Docs/Vercel deployment check failed (airbyte-docs preview). Maintainer closed PR with unmerged commits.
3227896964;15250;mautic/mautic;closed;FALSE;TRUE;0;FALSE;FALSE;https://github.com/mautic/mautic/pull/15250;0;0;0;0;0;1;0;1;0;0;P2_duplicate_alt_solution;"SonarCloud quality gate failed on maintainability; reviewer told Copilot to move changes into PR #15249 and closed this PR unmerged."
3244652867;233;StephenDev0/StikDebug;closed;FALSE;TRUE;1;FALSE;TRUE;https://github.com/StephenDev0/StikDebug/pull/233;0;0;0;0;0;0;0;0;0;1;P4_unknown;"CI job ÒBuild Unsigned IPAÓ passes; author notes swift build fails locally (ÒCould not find Package.swiftÓ) but no discussion; PR closed by author with unmerged commits, reason not stated."
3145625420;3486;1c-syntax/bsl-language-server;open;FALSE;FALSE;5;TRUE;FALSE;https://github.com/1c-syntax/bsl-language-server/pull/3486;0;1;0;0;0;0;0;0;1;0;T2_logic_bug;"Long, complex fix for diagnostic configuration and validators; reviewer repeatedly requested design changes (infrastructure roles, bean wiring, JSON schema validation). Tests were eventually fixed, but the PR stayed in draft with unresolved feedback, conflicts, and stale workflows, so it was effectively abandoned."
3181057880;1406;marin-community/marin;open;FALSE;FALSE;4;TRUE;TRUE;https://github.com/marin-community/marin/pull/1406;0;0;0;0;0;0;0;0;0;0;none;"Merged successfully. Refactor of executor loop into helper; unit tests, docs build, lint and other checks all passed."
3203675489;1650;567-labs/instructor;closed;FALSE;TRUE;7;TRUE;TRUE;https://github.com/567-labs/instructor/pull/1650;0;0;0;0;0;1;0;0;0;1;T6_build_ci_config;"Docs GitHub Actions workflow change (switch master_main, remove Poetry, keep uv). Cloudflare Workers deployment + docs test job failing (ModuleNotFoundError: 'pytest_examples'). PR closed with unmerged commits; exact reason for closure unclear."
3101784995;7216;thirdweb-dev/js;closed;FALSE;TRUE;4;FALSE;TRUE;https://github.com/thirdweb-dev/js/pull/7216;0;0;0;0;0;0;0;0;0;1;P4_unknown;"UI refactor: replace Chakra UI form with shadcn/Tailwind for OP credits dashboard form. All 28/28 checks passed; PR was closed without merge, reason not stated."
3125710825;1936;celestiaorg/celestia-core;closed;TRUE;FALSE;9;TRUE;TRUE;https://github.com/celestiaorg/celestia-core/pull/1936;0;0;0;0;0;0;0;0;0;0;none;"Performance / capacity tuning only: increased partsChan buffer from 1000 to 2500 in replay_file.go, wal_generator.go, and node.go to avoid blocking on large (128MB) blocks. All checks green; reviewer just asked to revert unnecessary test changes."
3276886129;15043;mochilang/mochi;closed;FALSE;TRUE;0;FALSE;FALSE;https://github.com/mochilang/mochi/pull/15043;0;0;0;0;0;0;0;0;0;1;P4_unknown;"Closed without merge; single dependency/go.mod update (Òadd missing replace directivesÓ), no CI jobs run, no review discussion explaining why it was closed Ñ reason for not merging unclear."
2958673865;49;OpenRouterTeam/ai-sdk-provider;closed;FALSE;TRUE;1;TRUE;FALSE;https://github.com/OpenRouterTeam/ai-sdk-provider/pull/49;0;0;1;0;0;0;1;0;0;0;T3_syntax_compile;"CI TypeScript type error in tests; no fix; PR auto-closed by bot after 7 days."
3148204191;2050;spcl/dace;open;FALSE;FALSE;5;TRUE;TRUE;https://github.com/spcl/dace/pull/2050;0;0;0;0;0;0;1;0;0;0;P1_low_priority;"Refactor: remove using_explicit_control_flow flag and legacy code for DaCe 2.0; simplifies control-flow handling; tests pass."
3134558199;1776;stackblitz-labs/bolt.diy;closed;FALSE;TRUE;1;FALSE;TRUE;https://github.com/stackblitz-labs/bolt.diy/pull/1776;0;0;0;0;0;0;0;0;0;1;P4_unknown;"Closed by reviewer: ÒClosing this PR as there is no actual change.Ó Only newline-at-EOF tweak; CI (Validate PR Title) passed."
3211680515;7;pannous/wasp;closed;FALSE;TRUE;0;FALSE;FALSE;https://github.com/pannous/wasp/pull/7;0;0;0;0;0;0;0;0;0;1;P4_unknown;"Closed by repo owner with comment Òtoo many random changes, not done manuallyÓ; CI workflows and build fixes rejected for policy/trust reasons, not due to test or build failure."
3013519880;69;mrwadams/stride-gpt;closed;FALSE;TRUE;0;FALSE;FALSE;https://github.com/mrwadams/stride-gpt/pull/69;0;0;0;0;0;0;0;1;0;0;P2_duplicate_alt_solution;"Superseded by PR #70; repo owner says #70 includes fixes for identified issues and closes this PR in favor of it. No CI failures; workflow ran with no jobs."
3071995758;3820;GlareDB/glaredb;closed;TRUE;FALSE;1;TRUE;FALSE;https://github.com/GlareDB/glaredb/pull/3820;0;0;0;0;0;0;0;0;0;0;none;Merged successfully, however, CI failed at some point 
3141665913;2526;microsoft/qsharp;closed;FALSE;TRUE;4;FALSE;TRUE;https://github.com/microsoft/qsharp/pull/2526;0;0;0;0;0;0;0;0;0;1;P4_unknown;"CI checks all passed. Copilot changed default notebook targetProfile to ""unrestricted"" in the VS Code layer and added a corresponding test. Maintainer interacted and later closed the PR without merging and without giving a clear reason, so the ultimate cause of rejection is unknown."
2786819123;23;robinmanuelthiel/speedtest;closed;FALSE;TRUE;0;FALSE;FALSE;https://github.com/robinmanuelthiel/speedtest/pull/23;0;0;0;0;0;0;0;0;1;0;P3_abandoned_no_response;"CI check (GitGuardian) passed; PR upgrades project to InfluxDB v2 but was closed by the AI bot due to inactivity, unmerged."
3104181659;2048;faros-ai/airbyte-connectors;closed;FALSE;TRUE;4;FALSE;TRUE;https://github.com/faros-ai/airbyte-connectors/pull/2048;0;0;0;0;0;0;0;0;1;0;P3_abandoned_no_response;closed due to inactivity for 7 days
3216208267;189;prometheus-lua/Prometheus;open;FALSE;FALSE;1;TRUE;FALSE;https://github.com/prometheus-lua/Prometheus/pull/189;1;1;0;0;0;0;0;0;0;1;P4_unknown;"Fixes a repeatÐuntil scoping bug in the VMify compiler. Initial test case caused the test-linux GitHub Actions job to time out (infinite loop in obfuscated VM code). Copilot reverted the problematic compiler changes and updated the test; tests now pass, but the PR remains a draft with requested changes and a workflow awaiting approval."
3135203702;93300;getsentry/sentry;closed;FALSE;TRUE;14;TRUE;TRUE;https://github.com/getsentry/sentry/pull/93300;1;0;1;0;1;0;0;0;1;0;T3_syntax_compile;"TS type errors and lint violations in multiple SDK docs; checks failing; PR closed with unmerged commits and no fixes (agent-authored)."
3070240949;11;briangu/klongpy;closed;TRUE;FALSE;1;TRUE;FALSE;https://github.com/briangu/klongpy/pull/11;0;0;0;0;1;0;0;0;0;0;T5_style_convention;"CI linter job failed (style/quality gate); CPU tests passed; PR merged despite linter failure."
3121998374;1435;EricLBuehler/mistral.rs;open;FALSE;FALSE;2;TRUE;TRUE;https://github.com/EricLBuehler/mistral.rs/pull/1435;0;0;0;0;1;0;0;0;0;0;T5_style_convention;"Typos CI check failing; all other CI green, PR still draft with merge conflicts."
3244965796;252;wieslawsoltes/Xaml.Behaviors;closed;FALSE;TRUE;2;FALSE;TRUE;https://github.com/wieslawsoltes/Xaml.Behaviors/pull/252;0;0;0;0;0;0;0;0;0;1;P4_unknown;"Docs-only PR adding interaction links; all 13/13 checks and pipelines succeeded; author closed PR with unmerged commits and deleted branch, reason not stated."
3275983098;971;bruin-data/bruin;closed;FALSE;TRUE;2;FALSE;TRUE;https://github.com/bruin-data/bruin/pull/971;0;0;0;0;0;0;0;0;0;1;P4_unknown;"Security-hardening PR adding X-Frame-Options / CSP headers to Nginx; all CI checks passed, but author closed the PR with unmerged commits and no explanation or reviewer discussion."
3247762648;553;syntasso/kratix;closed;FALSE;TRUE;1;TRUE;FALSE;https://github.com/syntasso/kratix/pull/553;0;1;0;0;0;0;1;0;0;0;T2_logic_bug;"Dockerfile change to distroless/cc base image and removal of fixed USER caused multiple integration/system tests to fail; PR was closed without being merged."
3150621549;464;WorkflowAI/WorkflowAI;closed;FALSE;TRUE;2;FALSE;TRUE;https://github.com/WorkflowAI/WorkflowAI/pull/464;0;0;0;0;0;0;0;0;0;1;P4_unknown;"PR adds a discussion doc for a supposed Next.js server bug, but reviewer points out the command is wrong; author confirms the server works when run correctly and closes the PR as the change is no longer needed."
3070335055;466;ai-shifu/ai-shifu;closed;FALSE;TRUE;0;FALSE;FALSE;https://github.com/ai-shifu/ai-shifu/pull/466;0;0;0;0;0;0;0;0;0;1;P4_unknown;"PR adds TypeScript type annotations and refactors components; GitGuardian check passes; only minor automated suggestion about header typing; PR closed with unmerged commits and no explanation _ closure reason unclear"
3083175022;5633;microsoft/testfx;closed;FALSE;TRUE;1;FALSE;FALSE;https://github.com/microsoft/testfx/pull/5633;1;0;0;0;0;0;0;1;0;0;P2_duplicate_alt_solution;"Backport PR with the fix (#5635) was already merged; maintainer considered this change too fragile and closed it in favour of the backport. CI showed failing integration tests earlier, but final closing reason is that an alternative solution was adopted."
3264478227;1338;herbie-fp/herbie;closed;FALSE;TRUE;3;FALSE;TRUE;https://github.com/herbie-fp/herbie/pull/1338;0;0;0;0;0;0;0;0;0;1;P4_unknown;"CI (integration + unit tests) all green; reviewer comments ÒGood to goÓ, but PR is closed with unmerged commits and no explanation, and logs are expired _ reason for non-merge is not observable from available artefacts."
3080543697;309;PriorLabs/TabPFN;closed;FALSE;TRUE;1;FALSE;TRUE;https://github.com/PriorLabs/TabPFN/pull/309;0;0;0;0;0;0;0;0;0;1;P4_unknown;"Author closed PR with unmerged commits and deleted branch; CI green; no discussion explaining why, so closing reason is unclear"
3248362607;129;bendichter/brokenaxes;open;FALSE;FALSE;1;TRUE;FALSE;https://github.com/bendichter/brokenaxes/pull/129;0;0;0;0;0;0;0;0;0;1;P4_unknown;"Draft PR fixing single-tick IndexError in BrokenAxes; tests reported passing, CI workflows just awaiting approval; PR still open and not merged, with no explicit reason given for non-integration."
3150847496;356;theopenco/llmgateway;closed;TRUE;FALSE;5;TRUE;TRUE;https://github.com/theopenco/llmgateway/pull/356;0;0;0;0;1;0;0;0;0;0;T5_style_convention;"ome CI checks (ci/lint, ci/generate) failed due to unused variables/parameters; build/test/e2e all passed and PR was merged via queue."
3267818687;2853;ublue-os/bluefin;closed;FALSE;TRUE;1;FALSE;TRUE;https://github.com/ublue-os/bluefin/pull/2853;0;0;0;0;1;0;0;0;0;0;T5_style_convention;"Only Semantic PR title check failed (style); docs-only change; PR closed without explanation"
2834302117;26;jina-ai/node-DeepResearch;closed;FALSE;TRUE;1;FALSE;TRUE;https://github.com/jina-ai/node-DeepResearch/pull/26;0;0;0;0;0;0;0;0;0;1;P4_unknown;Tests pass and the single CI job is green. PR is an agentic refactor (switching from Google Generative AI to Vercel AI SDK) but was closed without merging and with no maintainer discussion explaining why, so the failure reason is not observable from the PR
3161407157;7063;onnx/onnx;open;FALSE;FALSE;3;TRUE;FALSE;https://github.com/onnx/onnx/pull/7063;0;0;0;0;0;0;0;0;0;0;none;"Draft PR improving printer + tests for low-precision types; CI checks pending, no failing check visible, not (yet) an actual failure."
3077094653;3360;tokens-studio/figma-plugin;closed;FALSE;TRUE;7;TRUE;TRUE;https://github.com/tokens-studio/figma-plugin/pull/3360;1;0;0;1;0;0;0;0;1;0;T4_missing_tests;"SonarQube quality gate failed due to 0% test coverage on new code and overall coverage drop; some CI/test checks failing. Reviewer asked author to fix the failing checks, but there was no follow-up and the PR was closed without being merged."
3143461869;1360;github/gh-gei;closed;FALSE;TRUE;0;FALSE;FALSE;https://github.com/github/gh-gei/pull/1360;0;0;0;0;0;0;0;0;0;1;P4_unknown;"Closed without merging; no CI checks configured; author reports 890 unit tests passing locally; maintainer closed PR with no explanation."
3077591311;1361;MikePopoloski/slang;closed;FALSE;TRUE;1;TRUE;FALSE;https://github.com/MikePopoloski/slang/pull/1361;0;0;0;0;0;0;0;0;1;0;P3_abandoned_no_response;"WIP placeholder PR with only issue description, 0 files changed, 0 checks; closed with unmerged commits and branch deleted (essentially abandoned, not blocked by CI)"
3237779597;5588;reflex-dev/reflex;closed;FALSE;TRUE;7;FALSE;TRUE;https://github.com/reflex-dev/reflex/pull/5588;0;0;0;0;0;0;0;0;0;1;P4_unknown;"All CI checks (CodeQL, unit-tests, performance, integration, etc.) passed. PR was closed with unmerged commits; no explicit reason givenÑlikely non-technical/product decision."
3095028076;3688;Azure/azure-container-networking;closed;FALSE;TRUE;4;TRUE;TRUE;https://github.com/Azure/azure-container-networking/pull/3688;0;0;0;0;1;0;0;0;1;0;P3_abandoned_no_response;Lint checks (golangci-lint: testifylint, importShadow, cyclomatic complexity, etc.) were failing. PR was marked stale and then auto-closed by github-actions bot due to inactivity with failing checks still unresolved
3254647682;59071;JuliaLang/julia;closed;FALSE;TRUE;5;FALSE;TRUE;https://github.com/JuliaLang/julia/pull/59071;0;0;0;0;0;0;0;1;0;0;P2_duplicate_alt_solution;"Closed as duplicate; changes were merged via the original PR (this was just a rebased version)."
3130735278;180;kdroidFilter/ComposeNativeTray;closed;FALSE;TRUE;0;FALSE;FALSE;https://github.com/kdroidFilter/ComposeNativeTray/pull/180;0;0;0;0;0;0;0;0;1;0;P3_abandoned_no_response;"Draft PR created by repo owner with codex label (ChatGPT Codex). No CI checks or reviews. Author later closed the PR and deleted the branch; changes abandoned, not merged."
3084701267;40;elixr-games/elics;closed;FALSE;TRUE;1;FALSE;TRUE;https://github.com/elixr-games/elics/pull/40;0;0;0;0;0;0;1;0;0;0;P1_low_priority;"All CI checks (Run Tests / build 20.x) passed. PR was closed by the author the same day with no discussion; feature change apparently de-scoped / not needed."
3070206078;6;Zhangyanbo/diffusion-evolution;closed;FALSE;TRUE;0;FALSE;FALSE;https://github.com/Zhangyanbo/diffusion-evolution/pull/6;0;0;0;0;0;0;0;0;0;1;P4_unknown;"Closed by author on the same day without explanation. No CI checks ran; change wires density args / updates docs, but reason for closing is not stated."
3087587876;50256;Azure/azure-sdk-for-net;closed;FALSE;TRUE;1;FALSE;TRUE;https://github.com/Azure/azure-sdk-for-net/pull/50256;1;0;0;0;0;0;0;0;1;0;P3_abandoned_no_response;"Multiple .NET build/test jobs failing in CI; PR marked stale by github-actions due to no recent engagement and then closed by maintainer without being fixed"
3231339205;84;foxminchan/BookWorm;closed;FALSE;TRUE;0;FALSE;FALSE;https://github.com/foxminchan/BookWorm/pull/84;0;0;0;0;0;0;0;0;0;1;P4_unknown;"Closed manually by maintainer (foxminchan); all checks passed, no explicit reason given (not marked stale/inactivity)."
3207914894;193;MCPJam/inspector;closed;FALSE;TRUE;1;FALSE;TRUE;https://github.com/MCPJam/inspector/pull/193;0;0;0;0;0;0;0;0;0;1;P4_unknown;"Checks passed; PR closed manually by author (no stale/inactivity message)."
3184193699;1884;sequinstream/sequin;closed;TRUE;FALSE;1;TRUE;FALSE;https://github.com/sequinstream/sequin/pull/1884;1;0;0;0;0;0;0;0;0;0;T1_ci_test_failure;"GitHub Actions / signoff job failed due to test ""if start_fn fails, returns the error to the callers"" in unchanged file connection_cache_test.exs; PR was merged despite this unrelated CI test failure."
